state,stage,sex,completion_rate,year,malaysia_completion_rate,completion_gap_from_malaysia,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_year,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y,tfr,total_state_population,same_sex_total_population,same_sex_school_age_population,same_sex_school_age_share,log_population_total,is_federal_territory,is_small_population_state,households,living_quarters,households_per_living_quarter,living_quarters_per_household,log_households,income_mean,income_median,income_data_age,poverty_absolute,poverty_hardcore,poverty_relative,poverty_data_age
Negeri Sembilan,secondary_upper,female,99.8,2022,99.2,0.5999999999999943,,,2023,,98.6,0.7999999999999972,1.2000000000000028,-0.20000000000000284,96.15,0.8500000000000014,,,,,,,,,,1.72,1207.9,582.7,147.7,0.12227833429919693,7.097466134207946,0,0,334000,410900,0.8128498418106596,1.2302395209580839,12.718899265966332,6788.0,5226.0,6,4.4,0.1,13.3,6
Negeri Sembilan,secondary_upper,male,100.9,2022,99.2,1.7000000000000028,,,2023,,98.6,0.7999999999999972,2.3000000000000114,0.9000000000000057,95.8,0.5,,,,,,,,,,1.72,1207.9,625.1,166.6,0.13792532494411788,7.097466134207946,0,0,334000,410900,0.8128498418106596,1.2302395209580839,12.718899265966332,6788.0,5226.0,6,4.4,0.1,13.3,6
Pahang,primary,female,98.1,2022,99.3,-1.2000000000000028,,,2023,,97.9,-1.0999999999999943,0.19999999999998863,-0.10000000000000853,97.9,-0.7999999999999972,543.0,151624.0,14479.0,10.471993922232198,279.23388581952116,26.664825046040516,0.0,0.006325039324090342,0.009693165969316686,2.1,1614.3,761.2,214.89999999999998,0.13312271572817938,7.387275976919712,0,0,421700,481500,0.8758047767393562,1.141806971780887,12.952051811085882,5777.0,4753.0,6,6.3,0.1,7.7,6
Pahang,primary,male,95.1,2022,99.3,-4.200000000000003,,,2023,,96.8,-2.200000000000003,-1.7000000000000028,-2.0,96.5,-2.200000000000003,543.0,151624.0,14479.0,10.471993922232198,279.23388581952116,26.664825046040516,0.0,0.006325039324090342,0.009693165969316686,2.1,1614.3,853.0,232.9,0.14427305953044664,7.387275976919712,0,0,421700,481500,0.8758047767393562,1.141806971780887,12.952051811085882,5777.0,4753.0,6,6.3,0.1,7.7,6
Pahang,secondary_lower,female,98.8,2022,99.0,-0.20000000000000284,,,2023,,100.0,0.20000000000000284,-1.2000000000000028,-0.4000000000000057,98.65,-0.14999999999999858,,,,,,,,,,2.1,1614.3,761.2,214.89999999999998,0.13312271572817938,7.387275976919712,0,0,421700,481500,0.8758047767393562,1.141806971780887,12.952051811085882,5777.0,4753.0,6,6.3,0.1,7.7,6
Pahang,secondary_lower,male,98.6,2022,99.0,-0.4000000000000057,,,2023,,98.2,-1.5999999999999943,0.3999999999999915,1.1999999999999886,96.5,-2.299999999999997,,,,,,,,,,2.1,1614.3,853.0,232.9,0.14427305953044664,7.387275976919712,0,0,421700,481500,0.8758047767393562,1.141806971780887,12.952051811085882,5777.0,4753.0,6,6.3,0.1,7.7,6
Pahang,secondary_upper,female,99.5,2022,99.2,0.29999999999999716,,,2023,,99.1,1.2999999999999972,0.4000000000000057,-1.0,98.0,2.700000000000003,,,,,,,,,,2.1,1614.3,761.2,214.89999999999998,0.13312271572817938,7.387275976919712,0,0,421700,481500,0.8758047767393562,1.141806971780887,12.952051811085882,5777.0,4753.0,6,6.3,0.1,7.7,6
Pahang,secondary_upper,male,100.6,2022,99.2,1.3999999999999915,,,2023,,100.2,2.4000000000000057,0.3999999999999915,-1.0000000000000142,99.2,3.9000000000000057,,,,,,,,,,2.1,1614.3,853.0,232.9,0.14427305953044664,7.387275976919712,0,0,421700,481500,0.8758047767393562,1.141806971780887,12.952051811085882,5777.0,4753.0,6,6.3,0.1,7.7,6
Perak,primary,female,100.9,2022,99.3,1.6000000000000085,,,2023,,99.7,0.7000000000000028,1.2000000000000028,0.9000000000000057,99.75,1.0499999999999972,852.0,200543.0,20830.0,9.627604416706673,235.37910798122067,24.448356807511736,0.0,-0.0024423729319418275,0.015552630295938785,1.72,2514.4,1209.9,298.1,0.11855711104040725,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779.0,4494.0,6,7.5,0.2,13.5,6
Perak,primary,male,99.1,2022,99.3,-0.20000000000000284,,,2023,,98.0,-1.0,1.0999999999999943,0.7999999999999972,98.2,-0.5,852.0,200543.0,20830.0,9.627604416706673,235.37910798122067,24.448356807511736,0.0,-0.0024423729319418275,0.015552630295938785,1.72,2514.4,1304.6,325.2,0.12933503022589882,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779.0,4494.0,6,7.5,0.2,13.5,6
Perak,secondary_lower,female,99.4,2022,99.0,0.4000000000000057,,,2023,,100.2,0.4000000000000057,-0.7999999999999972,0.0,99.5,0.7000000000000028,,,,,,,,,,1.72,2514.4,1209.9,298.1,0.11855711104040725,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779.0,4494.0,6,7.5,0.2,13.5,6
Perak,secondary_lower,male,99.0,2022,99.0,0.0,,,2023,,98.6,-1.2000000000000028,0.4000000000000057,1.2000000000000028,97.05,-1.75,,,,,,,,,,1.72,2514.4,1304.6,325.2,0.12933503022589882,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779.0,4494.0,6,7.5,0.2,13.5,6
Perak,secondary_upper,female,99.9,2022,99.2,0.7000000000000028,,,2023,,99.2,1.4000000000000057,0.7000000000000028,-0.7000000000000028,96.2,0.9000000000000057,,,,,,,,,,1.72,2514.4,1209.9,298.1,0.11855711104040725,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779.0,4494.0,6,7.5,0.2,13.5,6
Perak,secondary_upper,male,100.7,2022,99.2,1.5,,,2023,,98.4,0.6000000000000085,2.299999999999997,0.8999999999999915,94.95,-0.3499999999999943,,,,,,,,,,1.72,2514.4,1304.6,325.2,0.12933503022589882,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779.0,4494.0,6,7.5,0.2,13.5,6
Perlis,primary,female,107.2,2022,99.3,7.900000000000006,,,2023,,99.8,0.7999999999999972,7.400000000000006,7.1000000000000085,99.9,1.1999999999999957,74.0,24253.0,2412.0,10.05514096185738,327.7432432432432,32.5945945945946,0.0,0.0032264736297829,0.007518796992481258,1.68,289.8,145.2,33.3,0.11490683229813663,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664.0,4713.0,6,4.0,0.1,12.6,6
Perlis,primary,male,103.9,2022,99.3,4.6000000000000085,,,2023,,94.4,-4.599999999999994,9.5,9.200000000000003,96.05000000000001,-2.6499999999999986,74.0,24253.0,2412.0,10.05514096185738,327.7432432432432,32.5945945945946,0.0,0.0032264736297829,0.007518796992481258,1.68,289.8,144.6,36.7,0.1266390614216701,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664.0,4713.0,6,4.0,0.1,12.6,6
Perlis,secondary_lower,female,100.3,2022,99.0,1.2999999999999972,,,2023,,98.6,-1.2000000000000028,1.7000000000000028,2.5,97.19999999999999,-1.6000000000000014,,,,,,,,,,1.68,289.8,145.2,33.3,0.11490683229813663,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664.0,4713.0,6,4.0,0.1,12.6,6
Perlis,secondary_lower,male,99.1,2022,99.0,0.09999999999999432,,,2023,,97.1,-2.700000000000003,2.0,2.799999999999997,95.1,-3.700000000000003,,,,,,,,,,1.68,289.8,144.6,36.7,0.1266390614216701,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664.0,4713.0,6,4.0,0.1,12.6,6
Perlis,secondary_upper,female,98.2,2022,99.2,-1.0,,,2023,,98.3,0.5,-0.09999999999999432,-1.5,96.65,1.3500000000000014,,,,,,,,,,1.68,289.8,145.2,33.3,0.11490683229813663,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664.0,4713.0,6,4.0,0.1,12.6,6
Perlis,secondary_upper,male,97.6,2022,99.2,-1.6000000000000085,,,2023,,96.5,-1.2999999999999972,1.0999999999999943,-0.30000000000001137,94.0,-1.2999999999999972,,,,,,,,,,1.68,289.8,144.6,36.7,0.1266390614216701,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664.0,4713.0,6,4.0,0.1,12.6,6
Pulau Pinang,primary,female,98.9,2022,99.3,-0.3999999999999915,,,2023,,96.8,-2.200000000000003,2.1000000000000085,1.8000000000000114,97.3,-1.4000000000000057,270.0,129598.0,10653.0,12.165399418004318,479.9925925925926,39.455555555555556,-0.0036900369003689537,-0.0062646168002147284,0.014088529271775396,1.17,1740.9,849.9,165.2,0.09489344591877763,7.462731750483416,0,0,519900,614100,0.8466047874938935,1.1811886901327178,13.161393687816775,8267.0,6502.0,6,2.0,0.1,15.3,6
