state,stage,sex,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
Sabah,primary,female,1,100.8,97.90764798328459,2.8923520167154066,2.8923520167154066,2.8923520167154066,2.8923520167154066,2.8923520167154066,0.0
Pahang,secondary_lower,male,1,98.6,95.82751994965116,2.7724800503488325,2.7724800503488325,2.7724800503488325,2.7724800503488325,2.7724800503488325,0.0
Negeri Sembilan,primary,female,1,102.7,100.01198798402248,2.6880120159775203,2.6880120159775203,2.6880120159775203,2.6880120159775203,2.6880120159775203,0.0
W.P. Putrajaya,secondary_lower,male,1,100.9,98.21984103367154,2.680158966328463,2.680158966328463,2.680158966328463,2.680158966328463,2.680158966328463,0.0
Perak,secondary_lower,male,1,99.0,96.41447533716759,2.5855246628324124,2.5855246628324124,2.5855246628324124,2.5855246628324124,2.5855246628324124,0.0
Sarawak,secondary_lower,female,1,99.6,97.03817833305305,2.5618216669469405,2.5618216669469405,2.5618216669469405,2.5618216669469405,2.5618216669469405,0.0
Sabah,primary,male,1,100.3,97.78422439928751,2.5157756007124874,2.5157756007124874,2.5157756007124874,2.5157756007124874,2.5157756007124874,0.0
Pulau Pinang,primary,female,1,98.9,96.39556617417706,2.504433825822943,2.504433825822943,2.504433825822943,2.504433825822943,2.504433825822943,0.0
Melaka,secondary_lower,male,1,98.6,96.13171499803445,2.4682850019655405,2.4682850019655405,2.4682850019655405,2.4682850019655405,2.4682850019655405,0.0
Terengganu,primary,female,1,104.6,102.17950165494418,2.420498345055819,2.420498345055819,2.420498345055819,2.420498345055819,2.420498345055819,0.0
Melaka,primary,female,1,100.3,97.88678382594908,2.413216174050916,2.413216174050916,2.413216174050916,2.413216174050916,2.413216174050916,0.0
Pulau Pinang,primary,male,1,96.6,94.2556558010147,2.344344198985297,2.344344198985297,2.344344198985297,2.344344198985297,2.344344198985297,0.0
Sarawak,secondary_lower,male,1,98.5,96.1903965518406,2.3096034481593932,2.3096034481593932,2.3096034481593932,2.3096034481593932,2.3096034481593932,0.0
W.P. Labuan,primary,male,1,90.9,93.07779421652336,-2.1777942165233526,2.1777942165233526,2.1777942165233526,2.1777942165233526,2.1777942165233526,0.0
Sabah,secondary_lower,female,1,99.7,97.56033491110279,2.1396650888972175,2.1396650888972175,2.1396650888972175,2.1396650888972175,2.1396650888972175,0.0
Kedah,primary,male,1,99.8,97.73925021242356,2.060749787576441,2.060749787576441,2.060749787576441,2.060749787576441,2.060749787576441,0.0
W.P. Kuala Lumpur,secondary_upper,female,1,98.1,96.07754568520907,2.02245431479092,2.02245431479092,2.02245431479092,2.02245431479092,2.02245431479092,0.0
Pulau Pinang,secondary_lower,female,1,99.7,97.78897995566753,1.9110200443324743,1.9110200443324743,1.9110200443324743,1.9110200443324743,1.9110200443324743,100.0
W.P. Kuala Lumpur,secondary_upper,male,1,97.0,95.09088433252711,1.9091156674728893,1.9091156674728893,1.9091156674728893,1.9091156674728893,1.9091156674728893,100.0
Perak,primary,female,1,100.9,99.09996954461877,1.8000304553812327,1.8000304553812327,1.8000304553812327,1.8000304553812327,1.8000304553812327,100.0
W.P. Labuan,secondary_upper,female,1,99.5,97.74494040421541,1.7550595957845871,1.7550595957845871,1.7550595957845871,1.7550595957845871,1.7550595957845871,100.0
Johor,secondary_lower,female,1,97.6,95.99094235043073,1.609057649569266,1.609057649569266,1.609057649569266,1.609057649569266,1.609057649569266,100.0
Terengganu,secondary_lower,female,1,99.9,98.39214730242078,1.5078526975792244,1.5078526975792244,1.5078526975792244,1.5078526975792244,1.5078526975792244,100.0
Perak,primary,male,1,99.1,97.61800995676855,1.4819900432314483,1.4819900432314483,1.4819900432314483,1.4819900432314483,1.4819900432314483,100.0
Johor,secondary_upper,male,1,97.8,96.33526168478767,1.4647383152123297,1.4647383152123297,1.4647383152123297,1.4647383152123297,1.4647383152123297,100.0
Kelantan,secondary_upper,female,1,98.8,100.26166562825412,-1.4616656282541243,1.4616656282541243,1.4616656282541243,1.4616656282541243,1.4616656282541243,100.0
Selangor,secondary_lower,female,1,98.4,99.85397253431418,-1.4539725343141754,1.4539725343141754,1.4539725343141754,1.4539725343141754,1.4539725343141754,100.0
Kelantan,primary,male,1,97.3,98.71938904809413,-1.419389048094132,1.419389048094132,1.419389048094132,1.419389048094132,1.419389048094132,100.0
Selangor,primary,male,1,98.2,96.79969373720806,1.4003062627919434,1.4003062627919434,1.4003062627919434,1.4003062627919434,1.4003062627919434,100.0
Negeri Sembilan,secondary_lower,female,1,99.8,98.43788316457662,1.3621168354233788,1.3621168354233788,1.3621168354233788,1.3621168354233788,1.3621168354233788,100.0
Terengganu,secondary_upper,female,1,99.1,97.74560997038486,1.354390029615132,1.354390029615132,1.354390029615132,1.354390029615132,1.354390029615132,100.0
Terengganu,secondary_lower,male,1,99.6,98.30519767228878,1.29480232771121,1.29480232771121,1.29480232771121,1.29480232771121,1.29480232771121,100.0
Sarawak,primary,male,1,100.3,99.00938822562468,1.2906117743753214,1.2906117743753214,1.2906117743753214,1.2906117743753214,1.2906117743753214,100.0
Pahang,primary,male,1,95.1,96.27686327298494,-1.1768632729849458,1.1768632729849458,1.1768632729849458,1.1768632729849458,1.1768632729849458,100.0
Selangor,primary,female,1,99.1,98.01487606867104,1.0851239313289511,1.0851239313289511,1.0851239313289511,1.0851239313289511,1.0851239313289511,100.0
Melaka,secondary_lower,female,1,99.3,98.3180870602257,0.981912939774304,0.981912939774304,0.981912939774304,0.981912939774304,0.981912939774304,100.0
Negeri Sembilan,primary,male,1,100.6,99.7109667157878,0.8890332842121893,0.8890332842121893,0.8890332842121893,0.8890332842121893,0.8890332842121893,100.0
Sarawak,primary,female,1,101.1,100.29124788448702,0.8087521155129735,0.8087521155129735,0.8087521155129735,0.8087521155129735,0.8087521155129735,100.0
W.P. Kuala Lumpur,secondary_lower,male,1,96.5,95.6916977309986,0.8083022690014019,0.8083022690014019,0.8083022690014019,0.8083022690014019,0.8083022690014019,100.0
Pahang,primary,female,1,98.1,97.2993433328075,0.8006566671924986,0.8006566671924986,0.8006566671924986,0.8006566671924986,0.8006566671924986,100.0
Selangor,secondary_lower,male,1,97.7,96.96068118686593,0.7393188131340764,0.7393188131340764,0.7393188131340764,0.7393188131340764,0.7393188131340764,100.0
W.P. Labuan,primary,female,1,93.9,94.54133903294154,-0.6413390329415307,0.6413390329415307,0.6413390329415307,0.6413390329415307,0.6413390329415307,100.0
Kedah,secondary_lower,female,1,99.2,99.82411033268104,-0.6241103326810418,0.6241103326810418,0.6241103326810418,0.6241103326810418,0.6241103326810418,100.0
Pahang,secondary_lower,female,1,98.8,99.3873050454197,-0.5873050454196971,0.5873050454196971,0.5873050454196971,0.5873050454196971,0.5873050454196971,100.0
Kelantan,secondary_upper,male,1,100.0,99.55097082640324,0.449029173596756,0.449029173596756,0.449029173596756,0.449029173596756,0.449029173596756,100.0
W.P. Kuala Lumpur,secondary_lower,female,1,96.4,96.74835822806503,-0.3483582280650239,0.3483582280650239,0.3483582280650239,0.3483582280650239,0.3483582280650239,100.0
W.P. Kuala Lumpur,primary,female,1,94.6,94.86233442379768,-0.26233442379768235,0.26233442379768235,0.26233442379768235,0.26233442379768235,0.26233442379768235,100.0
W.P. Kuala Lumpur,primary,male,1,92.9,92.66417525681038,0.23582474318962454,0.23582474318962454,0.23582474318962454,0.23582474318962454,0.23582474318962454,100.0
Perak,secondary_lower,female,1,99.4,99.63228579520143,-0.23228579520142034,0.23228579520142034,0.23228579520142034,0.23228579520142034,0.23228579520142034,100.0
Johor,primary,female,1,99.3,99.42340670239366,-0.12340670239366602,0.12340670239366602,0.12340670239366602,0.12340670239366602,0.12340670239366602,100.0
