state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta
melaka,primary,female,2022,100.3,100.1,0.20000000000000284,2023,,,
melaka,primary,male,2016,97.73,97.64,0.09000000000000341,2017,97.87,0.5300000000000011,0.14000000000000057
melaka,primary,male,2017,97.87,97.34,0.5300000000000011,2018,98.67,1.8100000000000023,0.7999999999999972
melaka,primary,male,2018,98.67,96.86,1.8100000000000023,2019,97.2,0.0,-1.4699999999999989
melaka,primary,male,2019,97.2,97.2,0.0,2020,97.7,0.10000000000000853,0.5
melaka,primary,male,2020,97.7,97.6,0.10000000000000853,2021,93.5,-4.0,-4.200000000000003
melaka,primary,male,2021,93.5,97.5,-4.0,2022,98.7,0.0,5.200000000000003
melaka,primary,male,2022,98.7,98.7,0.0,2023,,,
melaka,secondary_lower,both,2016,99.0276,95.582,3.445600000000013,2017,98.5646,0.839500000000001,-0.46300000000000807
melaka,secondary_lower,both,2017,98.5646,97.7251,0.839500000000001,2018,99.9172,3.2794999999999987,1.3525999999999954
melaka,secondary_lower,both,2018,99.9172,96.6377,3.2794999999999987,2019,98.7,2.0,-1.2171999999999912
melaka,secondary_lower,both,2019,98.7,96.7,2.0,2020,97.8,0.0,-0.9000000000000057
melaka,secondary_lower,both,2020,97.8,97.8,0.0,2021,98.1,-1.7000000000000028,0.29999999999999716
melaka,secondary_lower,both,2021,98.1,99.8,-1.7000000000000028,2022,98.9,-0.09999999999999432,0.8000000000000114
melaka,secondary_lower,both,2022,98.9,99.0,-0.09999999999999432,2023,,,
melaka,secondary_lower,female,2016,99.9568,97.0444,2.912400000000005,2017,99.2662,0.6129999999999995,-0.6906000000000034
melaka,secondary_lower,female,2017,99.2662,98.6532,0.6129999999999995,2018,100.0305,2.349400000000003,0.7643000000000058
melaka,secondary_lower,female,2018,100.0305,97.6811,2.349400000000003,2019,98.5,0.5,-1.5305000000000035
melaka,secondary_lower,female,2019,98.5,98.0,0.5,2020,98.6,-0.7000000000000028,0.09999999999999432
melaka,secondary_lower,female,2020,98.6,99.3,-0.7000000000000028,2021,99.2,-1.2000000000000028,0.6000000000000085
melaka,secondary_lower,female,2021,99.2,100.4,-1.2000000000000028,2022,99.3,0.3999999999999915,0.09999999999999432
melaka,secondary_lower,female,2022,99.3,98.9,0.3999999999999915,2023,,,
melaka,secondary_lower,male,2016,98.1113,94.1613,3.950000000000003,2017,97.8447,1.0317000000000007,-0.26659999999999684
melaka,secondary_lower,male,2017,97.8447,96.813,1.0317000000000007,2018,99.8065,4.181100000000001,1.9617999999999967
melaka,secondary_lower,male,2018,99.8065,95.6254,4.181100000000001,2019,98.9,3.5,-0.9064999999999941
melaka,secondary_lower,male,2019,98.9,95.4,3.5,2020,96.9,0.5,-2.0
melaka,secondary_lower,male,2020,96.9,96.4,0.5,2021,97.1,-2.1000000000000085,0.19999999999998863
melaka,secondary_lower,male,2021,97.1,99.2,-2.1000000000000085,2022,98.6,-0.6000000000000085,1.5
melaka,secondary_lower,male,2022,98.6,99.2,-0.6000000000000085,2023,,,
melaka,secondary_upper,both,2016,99.2746,99.2484,0.026200000000002888,2017,97.8254,1.4448000000000008,-1.4492000000000047
melaka,secondary_upper,both,2017,97.8254,96.3806,1.4448000000000008,2018,98.245,2.6143,0.41960000000000264
melaka,secondary_upper,both,2018,98.245,95.6307,2.6143,2019,97.0,-0.5,-1.2450000000000045
melaka,secondary_upper,both,2019,97.0,97.5,-0.5,2020,94.1,1.2999999999999972,-2.9000000000000057
melaka,secondary_upper,both,2020,94.1,92.8,1.2999999999999972,2021,98.2,0.4000000000000057,4.1000000000000085
melaka,secondary_upper,both,2021,98.2,97.8,0.4000000000000057,2022,97.7,-1.5,-0.5
melaka,secondary_upper,both,2022,97.7,99.2,-1.5,2023,,,
melaka,secondary_upper,female,2016,99.762,99.4922,0.2698000000000036,2017,98.7135,1.2214999999999918,-1.0485000000000042
melaka,secondary_upper,female,2017,98.7135,97.492,1.2214999999999918,2018,98.5104,1.9972000000000065,-0.20309999999999206
melaka,secondary_upper,female,2018,98.5104,96.5132,1.9972000000000065,2019,98.4,-0.5,-0.1103999999999985
melaka,secondary_upper,female,2019,98.4,98.9,-0.5,2020,95.1,1.5,-3.3000000000000114
melaka,secondary_upper,female,2020,95.1,93.6,1.5,2021,98.0,0.09999999999999432,2.9000000000000057
melaka,secondary_upper,female,2021,98.0,97.9,0.09999999999999432,2022,98.3,-1.0,0.29999999999999716
melaka,secondary_upper,female,2022,98.3,99.3,-1.0,2023,,,
melaka,secondary_upper,male,2016,98.7998,98.9922,-0.19239999999999213,2017,96.8979,1.6853000000000122,-1.9018999999999977
melaka,secondary_upper,male,2017,96.8979,95.2126,1.6853000000000122,2018,97.9713,3.2535000000000025,1.0733999999999924
melaka,secondary_upper,male,2018,97.9713,94.7178,3.2535000000000025,2019,95.5,-0.5999999999999943,-2.4712999999999994
melaka,secondary_upper,male,2019,95.5,96.1,-0.5999999999999943,2020,93.0,1.0,-2.5
melaka,secondary_upper,male,2020,93.0,92.0,1.0,2021,98.5,0.9000000000000057,5.5
melaka,secondary_upper,male,2021,98.5,97.6,0.9000000000000057,2022,97.1,-2.0,-1.4000000000000057
melaka,secondary_upper,male,2022,97.1,99.1,-2.0,2023,,,
negeri sembilan,primary,both,2016,98.29,98.37,-0.0799999999999983,2017,98.95,0.8800000000000097,0.6599999999999966
negeri sembilan,primary,both,2017,98.95,98.07,0.8800000000000097,2018,99.24,1.5699999999999932,0.28999999999999204
negeri sembilan,primary,both,2018,99.24,97.67,1.5699999999999932,2019,98.9,0.9000000000000057,-0.3399999999999892
negeri sembilan,primary,both,2019,98.9,98.0,0.9000000000000057,2020,100.1,1.6999999999999886,1.1999999999999886
negeri sembilan,primary,both,2020,100.1,98.4,1.6999999999999886,2021,102.9,3.9000000000000057,2.8000000000000114
negeri sembilan,primary,both,2021,102.9,99.0,3.9000000000000057,2022,101.6,2.299999999999997,-1.3000000000000114
negeri sembilan,primary,both,2022,101.6,99.3,2.299999999999997,2023,,,
