state,stage,sex,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
negeri sembilan,secondary_upper,female,1,99.8,98.47011577283135,1.3298842271686482,1.3298842271686482,1.3298842271686482,1.3298842271686482,1.3298842271686482,100.0
kelantan,secondary_upper,female,1,98.8,100.1152166299455,-1.3152166299454962,1.3152166299454962,1.3152166299454962,1.3152166299454962,1.3152166299454962,100.0
perlis,secondary_upper,male,1,97.6,96.3095374667072,1.2904625332927964,1.2904625332927964,1.2904625332927964,1.2904625332927964,1.2904625332927964,100.0
pahang,secondary_lower,male,1,98.6,97.4008337726896,1.1991662273103998,1.1991662273103998,1.1991662273103998,1.1991662273103998,1.1991662273103998,100.0
perak,secondary_upper,female,1,99.9,98.70448202947085,1.1955179705291528,1.1955179705291528,1.1955179705291528,1.1955179705291528,1.1955179705291528,100.0
w.p. kuala lumpur,secondary_lower,female,1,96.4,97.53043672050767,-1.1304367205076602,1.1304367205076602,1.1304367205076602,1.1304367205076602,1.1304367205076602,100.0
sabah,primary,female,1,100.8,99.68800077693926,1.1119992230607352,1.1119992230607352,1.1119992230607352,1.1119992230607352,1.1119992230607352,100.0
pahang,primary,female,1,98.1,99.08502611211392,-0.9850261121139283,0.9850261121139283,0.9850261121139283,0.9850261121139283,0.9850261121139283,100.0
w.p. kuala lumpur,primary,female,1,94.6,95.53320269959092,-0.9332026995909217,0.9332026995909217,0.9332026995909217,0.9332026995909217,0.9332026995909217,100.0
sarawak,secondary_upper,female,1,98.9,98.01020083426641,0.8897991657335922,0.8897991657335922,0.8897991657335922,0.8897991657335922,0.8897991657335922,100.0
johor,secondary_upper,female,1,98.5,97.61032484030075,0.8896751596992516,0.8896751596992516,0.8896751596992516,0.8896751596992516,0.8896751596992516,100.0
sarawak,secondary_lower,female,1,99.6,98.7405317338134,0.859468266186596,0.859468266186596,0.859468266186596,0.859468266186596,0.859468266186596,100.0
terengganu,secondary_upper,female,1,99.1,99.9343049036782,-0.834304903678202,0.834304903678202,0.834304903678202,0.834304903678202,0.834304903678202,100.0
selangor,secondary_lower,male,1,97.7,96.9154680558428,0.7845319441572087,0.7845319441572087,0.7845319441572087,0.7845319441572087,0.7845319441572087,100.0
terengganu,secondary_lower,male,1,99.6,98.89701744106662,0.7029825589333711,0.7029825589333711,0.7029825589333711,0.7029825589333711,0.7029825589333711,100.0
w.p. kuala lumpur,primary,male,1,92.9,93.54160361285618,-0.6416036128561728,0.6416036128561728,0.6416036128561728,0.6416036128561728,0.6416036128561728,100.0
perak,primary,female,1,100.9,100.28952454502452,0.6104754549754858,0.6104754549754858,0.6104754549754858,0.6104754549754858,0.6104754549754858,100.0
johor,primary,female,1,99.3,99.9041734427833,-0.6041734427833063,0.6041734427833063,0.6041734427833063,0.6041734427833063,0.6041734427833063,100.0
negeri sembilan,primary,male,1,100.6,100.08073953347673,0.5192604665232636,0.5192604665232636,0.5192604665232636,0.5192604665232636,0.5192604665232636,100.0
pahang,secondary_lower,female,1,98.8,99.30734718296078,-0.5073471829607854,0.5073471829607854,0.5073471829607854,0.5073471829607854,0.5073471829607854,100.0
perlis,secondary_upper,female,1,98.2,97.71685674674585,0.4831432532541555,0.4831432532541555,0.4831432532541555,0.4831432532541555,0.4831432532541555,100.0
kelantan,secondary_upper,male,1,100.0,99.5228656149978,0.47713438500220207,0.47713438500220207,0.47713438500220207,0.47713438500220207,0.47713438500220207,100.0
kedah,secondary_lower,female,1,99.2,99.64321363231275,-0.443213632312748,0.443213632312748,0.443213632312748,0.443213632312748,0.443213632312748,100.0
selangor,secondary_lower,female,1,98.4,98.82764387513426,-0.42764387513425106,0.42764387513425106,0.42764387513425106,0.42764387513425106,0.42764387513425106,100.0
melaka,secondary_lower,female,1,99.3,98.90579106924334,0.39420893075666186,0.39420893075666186,0.39420893075666186,0.39420893075666186,0.39420893075666186,100.0
selangor,primary,male,1,98.2,97.81784015502987,0.38215984497013267,0.38215984497013267,0.38215984497013267,0.38215984497013267,0.38215984497013267,100.0
