state,year,households,living_quarters,households_per_living_quarter,living_quarters_per_household,log_households
kelantan,2021,370000,441000,0.8390022675736961,1.191891891891892,12.821260987319457
kelantan,2022,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943
kelantan,2023,383600,462800,0.8288677614520311,1.2064650677789364,12.857358228870192
kelantan,2024,390500,473900,0.8240135049588521,1.213572343149808,12.875185809078062
melaka,1970,68238,68886,0.9905931539064542,1.0094961751516751,11.130771527896405
melaka,1980,81102,87269,0.9293334402823454,1.0760400483341965,11.30347523078802
melaka,1991,102158,121290,0.8422623464424107,1.1872785293369095,11.534285702091559
melaka,2000,134976,175593,0.7686866788539406,1.3009201635846372,11.812859672535517
melaka,2010,196910,240200,0.8197751873438801,1.2198466304403026,12.190507128988562
melaka,2011,201600,245000,0.8228571428571428,1.2152777777777777,12.214045775484509
melaka,2012,206200,249300,0.8271159245888487,1.2090203685741998,12.23660670021376
melaka,2013,210800,253600,0.831230283911672,1.2030360531309299,12.258669839471109
melaka,2014,215600,258000,0.8356589147286821,1.1966604823747682,12.281184756225146
melaka,2015,220400,262400,0.8399390243902439,1.190562613430127,12.303203893455684
melaka,2016,225300,266900,0.8441363806669164,1.1846426986240568,12.325192564936895
melaka,2017,230300,271400,0.8485630066322771,1.1784628745115067,12.347142427961746
melaka,2018,235200,275900,0.8524827836172526,1.1730442176870748,12.36819574669825
melaka,2019,240000,280500,0.8556149732620321,1.16875,12.388398368982115
melaka,2020,267074,319753,0.8352509593342361,1.1972449583261568,12.495284796814088
melaka,2021,276000,329600,0.837378640776699,1.1942028985507247,12.52815976788113
melaka,2022,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562
melaka,2023,294200,349800,0.841052029731275,1.1889870836165874,12.592018486191964
melaka,2024,303600,360100,0.84309913912802,1.1861001317523057,12.62346961830583
negeri sembilan,1970,86171,92869,0.9278769018725301,1.0777291664248994,11.364100577898318
negeri sembilan,1980,105336,122352,0.8609258532757944,1.1615402141717932,11.564920013421663
negeri sembilan,1991,144275,180173,0.8007581602126844,1.2488164962744759,11.879483410762909
negeri sembilan,2000,185776,242218,0.7669785069648003,1.3038175006459392,12.13230230867893
negeri sembilan,2010,243560,324400,0.7508014796547472,1.3319100016423058,12.403122703478575
negeri sembilan,2011,248800,331900,0.7496233805363061,1.3340032154340835,12.42440865913169
negeri sembilan,2012,254000,338000,0.7514792899408284,1.330708661417323,12.445093483000798
negeri sembilan,2013,259500,344000,0.7543604651162791,1.325626204238921,12.466515835145202
negeri sembilan,2014,264900,350200,0.7564249000571103,1.3220083050207625,12.487111450262473
negeri sembilan,2015,270400,356300,0.7589110300308729,1.3176775147928994,12.50766132136896
negeri sembilan,2016,275900,362500,0.7611034482758621,1.3138818412468285,12.52779738470044
negeri sembilan,2017,281400,368800,0.7630151843817787,1.310589907604833,12.547535977316382
negeri sembilan,2018,287000,375100,0.765129298853639,1.3069686411149826,12.567240979056246
negeri sembilan,2019,292700,381500,0.7672346002621232,1.3033823026990092,12.586906889141513
negeri sembilan,2020,315497,392631,0.8035458229227952,1.24448409969033,12.661907621799097
negeri sembilan,2021,324700,401700,0.8083146626835948,1.237141977209732,12.690660037852133
negeri sembilan,2022,334000,410900,0.8128498418106596,1.2302395209580839,12.718899265966332
negeri sembilan,2023,343500,420100,0.8176624613187337,1.2229985443959244,12.746945301848456
negeri sembilan,2024,353200,429500,0.8223515715948778,1.2160249150622877,12.774792578965013
pahang,1970,98407,103890,0.9472230243526807,1.0557175810663875,11.496877380548622
pahang,1980,151409,166890,0.9072383006770927,1.1022462337113381,11.927746668002417
pahang,1991,210811,239894,0.8787672888859246,1.1379576967046312,12.258722020025326
pahang,2000,272214,304084,0.8951934333934044,1.1170770055911894,12.514347474220502
pahang,2010,324580,371600,0.8734660925726587,1.1448641321091872,12.690290398769681
pahang,2011,329700,377200,0.8740721102863203,1.1440703670003034,12.70594146211558
pahang,2012,334700,382700,0.8745753854193885,1.1434120107559007,12.720992874945178
pahang,2013,339600,388200,0.874806800618238,1.1431095406360423,12.735526678055749
pahang,2014,344500,393800,0.8748095479939055,1.1431059506531205,12.749852272189257
pahang,2015,349600,399500,0.8750938673341677,1.1427345537757436,12.764547783171325
pahang,2016,354800,405200,0.8756169792694966,1.1420518602029313,12.779312347902879
pahang,2017,360200,411000,0.8763990267639903,1.1410327595780123,12.794417487955563
pahang,2018,365800,416900,0.8774286399616215,1.1396938217605248,12.809844748669446
pahang,2019,371300,422800,0.8781929990539262,1.1387018583355777,12.824768333401511
pahang,2020,401534,458972,0.8748551109871626,1.14304641699084,12.90304998167047
pahang,2021,411500,470200,0.8751595065929392,1.1426488456865127,12.927566729229966
pahang,2022,421700,481500,0.8758047767393562,1.141806971780887,12.952051811085882
pahang,2023,432000,493000,0.8762677484787018,1.1412037037037037,12.976183182038383
pahang,2024,442400,504600,0.8767340467697186,1.1405967450271248,12.999971989585537
perak,1970,279299,274908,1.0159726162934508,0.9842784972377273,12.540041751933268
perak,1980,333207,344013,0.9685883963687418,1.0324302910803194,12.71652219859044
perak,1991,398994,471599,0.8460450509861132,1.1819701549396733,12.896704164465161
perak,2000,454100,552185,0.8223693146318716,1.2159986787051311,13.026074919241733
perak,2010,586440,691000,0.8486830680173661,1.1782961598799535,13.28182734525503
perak,2011,594200,703200,0.8449943117178612,1.183439919219118,13.294972924944267
perak,2012,602600,711100,0.8474194909295458,1.1800531032193826,13.309010565152567
perak,2013,611200,719100,0.8499513280489501,1.1765379581151831,13.323181152958764
perak,2014,620000,727200,0.8525852585258525,1.1729032258064516,13.3374763699232
perak,2015,629000,735400,0.8553168343758499,1.1691573926868044,13.351888125506433
perak,2016,638100,743700,0.8580072609923356,1.1654913023037141,13.366251857007693
perak,2017,647400,752100,0.8607897885919426,1.1617238183503245,13.380721165113187
perak,2018,656600,760600,0.8632658427557192,1.1583917148949132,13.394831807045728
perak,2019,665800,769300,0.8654621084102431,1.1554520877140282,13.408746106074473
perak,2020,672855,808323,0.8324085792436934,1.2013331252647301,13.419286618422044
