Feature Name,Importance Mean,Importance Standard Deviation,Absolute Importance Mean,Selected Feature Set,Selected Candidate Name,Calibration Method,Calibration Intercept,Scoring Method,Repeat Count,Diagnostic Note,Inferred Feature Group
state,0.010781344238739221,0.004300872214539861,0.010781344238739221,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,categorical
teachers_total,-0.010674553016768866,0.01946795039634077,0.010674553016768866,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
teachers_per_school,-0.00980105473517024,0.012424329033547916,0.00980105473517024,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
tfr,-0.00974279638423344,0.005585552205126848,0.00974279638423344,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,demographic
same_sex_school_age_share,-0.008345630285357479,0.023600227745612816,0.008345630285357479,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
living_quarters,0.008049776442815688,0.004694871473152545,0.008049776442815688,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,household
same_sex_total_population,0.0076421281105775694,0.007621785270414768,0.0076421281105775694,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,demographic
schools_total,0.007563484303511511,0.01360935966620886,0.007563484303511511,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
households,0.006888514173083138,0.006302306948097055,0.006888514173083138,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,household
total_state_population,0.0063304050626692195,0.005170873657446276,0.0063304050626692195,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,demographic
log_population_total,-0.004534691272795622,0.0030323052203135898,0.004534691272795622,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,demographic
log_households,-0.004424073433748473,0.0029040250091515785,0.004424073433748473,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,household
gap_change_1y,-0.0033002625759893434,0.016035129904301674,0.0033002625759893434,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
completion_rate,-0.0032406152396584178,0.015567773698225715,0.0032406152396584178,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
same_sex_school_age_population,0.00260125162501,0.004604409639508829,0.00260125162501,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
schools_growth_1y,0.0025107691376290505,0.0013747107539274564,0.0025107691376290505,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
students_total,0.002230823961072022,0.003405260467020192,0.002230823961072022,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
completion_rate_change_1y,-0.002216993109708021,0.008857399680976081,0.002216993109708021,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
students_growth_1y,0.0014440782479097378,0.004756158515254169,0.0014440782479097378,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
stage,0.0008314583195473253,0.01355015062317695,0.0008314583195473253,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,categorical
is_small_population_state,0.00027821886730250434,0.004488950738783084,0.00027821886730250434,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,demographic
rolling2_completion_mean,-1.217380837914561e-07,0.021445405221171665,1.217380837914561e-07,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
