state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y,tfr,same_sex_total_population,same_sex_school_age_population,total_state_population,same_sex_school_age_share,log_population_total,is_federal_territory,is_small_population_state,households,living_quarters,households_per_living_quarter,living_quarters_per_household,log_households,income_mean,income_median,income_year_used,income_data_age,poverty_absolute,poverty_hardcore,poverty_relative,poverty_year_used,poverty_data_age
perak,secondary_lower,female,2022,99.4,98.9,0.5,2023,,,,100.2,-0.20000000000000284,-0.7999999999999972,0.7000000000000028,99.80000000000001,0.14999999999999858,253.0,78952.0,12156.0,6.494899638038828,312.0632411067194,48.047430830039524,0.012,0.009035721132340725,0.028861616589081675,1.72,1209.9,298.1,2514.4,0.24638399867757665,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779,4494.0,2022,0,7.5,0.2,13.5,2022,0
perak,secondary_lower,male,2022,99.0,99.2,-0.20000000000000284,2023,,,,98.6,-0.6000000000000085,0.4000000000000057,0.4000000000000057,98.8,-0.4000000000000057,253.0,81435.0,5177.0,15.730152598029747,321.87747035573125,20.462450592885375,0.012,0.011652608171733109,0.010343481654957064,1.72,1304.6,325.2,2514.4,0.24927180745055957,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779,4494.0,2022,0,7.5,0.2,13.5,2022,0
perak,secondary_upper,female,2022,99.9,99.3,0.6000000000000085,2023,,,,99.2,1.2999999999999972,0.7000000000000028,-0.6999999999999886,99.55000000000001,0.9500000000000028,253.0,78952.0,12156.0,6.494899638038828,312.0632411067194,48.047430830039524,0.012,0.009035721132340725,0.028861616589081675,1.72,1209.9,298.1,2514.4,0.24638399867757665,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779,4494.0,2022,0,7.5,0.2,13.5,2022,0
perak,secondary_upper,male,2022,100.7,99.1,1.6000000000000085,2023,,,,98.4,0.8000000000000114,2.299999999999997,0.7999999999999972,99.55000000000001,1.20000000000001,253.0,81435.0,5177.0,15.730152598029747,321.87747035573125,20.462450592885375,0.012,0.011652608171733109,0.010343481654957064,1.72,1304.6,325.2,2514.4,0.24927180745055957,7.830187115613056,0,0,695300,840200,0.8275410616519876,1.2083992521213864,13.452100124314178,5779,4494.0,2022,0,7.5,0.2,13.5,2022,0
perlis,primary,female,2022,107.2,100.1,7.1000000000000085,2023,,,,99.8,-0.7000000000000028,7.400000000000006,7.800000000000011,103.5,3.200000000000003,74.0,11702.0,1699.0,6.8875809299588,158.13513513513513,22.95945945945946,0.0,0.0008552856654122477,0.005920663114268798,1.68,145.2,33.3,289.8,0.2293388429752066,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664,4713.0,2022,0,4.0,0.1,12.6,2022,0
perlis,primary,male,2022,103.9,98.7,5.200000000000003,2023,,,,94.4,-3.0999999999999943,9.5,8.299999999999997,99.15,1.0500000000000043,74.0,12551.0,713.0,17.603085553997197,169.6081081081081,9.635135135135135,0.0,0.005447408475526716,0.011347517730496455,1.68,144.6,36.7,289.8,0.2538035961272476,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664,4713.0,2022,0,4.0,0.1,12.6,2022,0
perlis,secondary_lower,female,2022,100.3,98.9,1.3999999999999915,2023,,,,98.6,-1.8000000000000114,1.7000000000000028,3.200000000000003,99.44999999999999,-0.20000000000000995,30.0,9339.0,1522.0,6.136005256241787,311.3,50.733333333333334,0.0,0.020990488684814693,0.02079141515761234,1.68,145.2,33.3,289.8,0.2293388429752066,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664,4713.0,2022,0,4.0,0.1,12.6,2022,0
perlis,secondary_lower,male,2022,99.1,99.2,-0.10000000000000853,2023,,,,97.1,-2.1000000000000085,2.0,2.0,98.1,-1.1000000000000085,30.0,9776.0,760.0,12.863157894736842,325.8666666666667,25.333333333333332,0.0,0.03482587064676617,-0.012987012987012988,1.68,144.6,36.7,289.8,0.2538035961272476,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664,4713.0,2022,0,4.0,0.1,12.6,2022,0
perlis,secondary_upper,female,2022,98.2,99.3,-1.0999999999999943,2023,,,,98.3,0.3999999999999915,-0.09999999999999432,-1.4999999999999858,98.25,-0.3500000000000014,30.0,9339.0,1522.0,6.136005256241787,311.3,50.733333333333334,0.0,0.020990488684814693,0.02079141515761234,1.68,145.2,33.3,289.8,0.2293388429752066,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664,4713.0,2022,0,4.0,0.1,12.6,2022,0
perlis,secondary_upper,male,2022,97.6,99.1,-1.5,2023,,,,96.5,-1.0999999999999943,1.0999999999999943,-0.4000000000000057,97.05,-1.2999999999999972,30.0,9776.0,760.0,12.863157894736842,325.8666666666667,25.333333333333332,0.0,0.03482587064676617,-0.012987012987012988,1.68,144.6,36.7,289.8,0.2538035961272476,5.672635745659364,0,1,87700,75800,1.1569920844327177,0.8643101482326112,11.381688580803818,5664,4713.0,2022,0,4.0,0.1,12.6,2022,0
pulau pinang,primary,female,2022,98.9,100.1,-1.1999999999999886,2023,,,,96.8,-3.700000000000003,2.1000000000000085,2.500000000000014,97.85,-2.4499999999999957,270.0,63249.0,8229.0,7.686110098432374,234.25555555555556,30.477777777777778,-0.0036900369003690036,-0.008014429109159348,0.010313075506445672,1.17,849.9,165.2,1740.9,0.1943758089186963,7.462731750483416,0,0,519900,614100,0.8466047874938935,1.1811886901327178,13.161393687816775,8267,6502.0,2022,0,2.0,0.1,15.3,2022,0
