state,stage,sex,year,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y
melaka,secondary_upper,female,2020,77,30528,4396,6.94449499545041,396.46753246753246,57.09090909090909,0.0,-0.0027440219521756176,-0.0009090909090909091
melaka,secondary_upper,female,2021,77,30982,4304,7.198420074349443,402.3636363636364,55.896103896103895,0.0,0.014871593291404613,-0.020928116469517744
melaka,secondary_upper,female,2022,78,30906,4439,6.962378914169858,396.2307692307692,56.91025641025641,0.012987012987012988,-0.002453037247433994,0.03136617100371747
melaka,secondary_upper,male,2017,77,33760,1837,18.377789874795862,438.4415584415584,23.857142857142858,,,
melaka,secondary_upper,male,2018,77,31114,1791,17.372417643774426,404.0779220779221,23.25974025974026,0.0,-0.07837677725118483,-0.025040827436037017
melaka,secondary_upper,male,2019,77,30645,1768,17.33314479638009,397.987012987013,22.961038961038962,0.0,-0.015073600308542778,-0.012841987716359575
melaka,secondary_upper,male,2020,77,30851,1735,17.78155619596542,400.6623376623377,22.532467532467532,0.0,0.006722140642845488,-0.018665158371040724
melaka,secondary_upper,male,2021,77,31349,1663,18.850871918220083,407.12987012987014,21.5974025974026,0.0,0.016142102362970406,-0.0414985590778098
melaka,secondary_upper,male,2022,78,31479,1654,19.03204353083434,403.5769230769231,21.205128205128204,0.012987012987012988,0.0041468627388433444,-0.005411906193625977
negeri sembilan,primary,female,2017,350,49674,7144,6.953247480403135,141.9257142857143,20.411428571428573,,,
negeri sembilan,primary,female,2018,350,50054,7334,6.824925006817562,143.01142857142858,20.954285714285714,0.0,0.007649877199339695,0.026595744680851064
negeri sembilan,primary,female,2019,350,50954,7249,7.0291074630983585,145.58285714285714,20.71142857142857,0.0,0.017980580972549648,-0.011589855467684755
negeri sembilan,primary,female,2020,352,51250,7261,7.058256438507093,145.5965909090909,20.62784090909091,0.005714285714285714,0.005809161204223417,0.0016554007449303353
negeri sembilan,primary,female,2021,352,52223,7279,7.174474515730183,148.36079545454547,20.678977272727273,0.0,0.018985365853658537,0.00247899738328054
negeri sembilan,primary,female,2022,353,52736,7313,7.211267605633803,149.39376770538243,20.71671388101983,0.002840909090909091,0.009823257951477319,0.004670971287264734
