state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta
perak,secondary_lower,both,2020,97.1,97.8,-0.7000000000000028,2021,99.4,-0.3999999999999915,2.3000000000000114
perak,secondary_lower,both,2021,99.4,99.8,-0.3999999999999915,2022,99.2,0.20000000000000284,-0.20000000000000284
perak,secondary_lower,both,2022,99.2,99.0,0.20000000000000284,2023,,,
perak,secondary_upper,both,2016,99.1,99.2484,-0.1484000000000094,2017,94.4357,-1.944900000000004,-4.664299999999997
perak,secondary_upper,both,2017,94.4357,96.3806,-1.944900000000004,2018,97.4355,1.8048000000000002,2.9998000000000076
perak,secondary_upper,both,2018,97.4355,95.6307,1.8048000000000002,2019,97.9,0.4000000000000057,0.464500000000001
perak,secondary_upper,both,2019,97.9,97.5,0.4000000000000057,2020,92.4,-0.3999999999999915,-5.5
perak,secondary_upper,both,2020,92.4,92.8,-0.3999999999999915,2021,98.8,1.0,6.3999999999999915
perak,secondary_upper,both,2021,98.8,97.8,1.0,2022,100.3,1.0999999999999943,1.5
perak,secondary_upper,both,2022,100.3,99.2,1.0999999999999943,2023,,,
perlis,primary,both,2016,101.66,98.37,3.289999999999992,2017,99.22,1.1500000000000057,-2.4399999999999977
perlis,primary,both,2017,99.22,98.07,1.1500000000000057,2018,99.61,1.9399999999999977,0.39000000000000057
perlis,primary,both,2018,99.61,97.67,1.9399999999999977,2019,99.0,1.0,-0.6099999999999994
perlis,primary,both,2019,99.0,98.0,1.0,2020,98.8,0.3999999999999915,-0.20000000000000284
perlis,primary,both,2020,98.8,98.4,0.3999999999999915,2021,96.9,-2.0999999999999943,-1.8999999999999915
perlis,primary,both,2021,96.9,99.0,-2.0999999999999943,2022,105.5,6.200000000000003,8.599999999999994
perlis,primary,both,2022,105.5,99.3,6.200000000000003,2023,,,
perlis,secondary_lower,both,2016,93.6557,95.582,-1.9262999999999977,2017,96.4581,-1.266999999999996,2.8024000000000058
perlis,secondary_lower,both,2017,96.4581,97.7251,-1.266999999999996,2018,96.5534,-0.08429999999999893,0.09529999999999461
perlis,secondary_lower,both,2018,96.5534,96.6377,-0.08429999999999893,2019,93.1,-3.6000000000000085,-3.453400000000002
perlis,secondary_lower,both,2019,93.1,96.7,-3.6000000000000085,2020,94.4,-3.3999999999999915,1.3000000000000114
perlis,secondary_lower,both,2020,94.4,97.8,-3.3999999999999915,2021,97.8,-2.0,3.3999999999999915
perlis,secondary_lower,both,2021,97.8,99.8,-2.0,2022,99.7,0.7000000000000028,1.9000000000000057
perlis,secondary_lower,both,2022,99.7,99.0,0.7000000000000028,2023,,,
perlis,secondary_upper,both,2016,91.1528,99.2484,-8.095600000000005,2017,94.5276,-1.8529999999999944,3.3748000000000076
perlis,secondary_upper,both,2017,94.5276,96.3806,-1.8529999999999944,2018,94.6984,-0.9322999999999979,0.17079999999999984
perlis,secondary_upper,both,2018,94.6984,95.6307,-0.9322999999999979,2019,94.6,-2.9000000000000057,-0.09840000000001226
perlis,secondary_upper,both,2019,94.6,97.5,-2.9000000000000057,2020,93.3,0.5,-1.2999999999999972
perlis,secondary_upper,both,2020,93.3,92.8,0.5,2021,97.4,-0.3999999999999915,4.1000000000000085
perlis,secondary_upper,both,2021,97.4,97.8,-0.3999999999999915,2022,97.9,-1.2999999999999972,0.5
perlis,secondary_upper,both,2022,97.9,99.2,-1.2999999999999972,2023,,,
pulau pinang,primary,both,2016,96.55,98.37,-1.8200000000000074,2017,96.71,-1.3599999999999994,0.1599999999999966
