state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean
kelantan,secondary_lower,female,2021,112.9,100.4,12.5,2022,98.7,-0.20000000000000284,-14.200000000000003,112.9,13.600000000000009,0.0,-1.1000000000000085,112.9,13.050000000000004
kelantan,secondary_lower,female,2022,98.7,98.9,-0.20000000000000284,2023,,,,112.9,12.5,-14.200000000000003,-12.700000000000003,105.80000000000001,6.149999999999999
kelantan,secondary_lower,male,2016,95.7847,94.1613,1.6234000000000037,2017,92.3972,-4.415800000000004,-3.387500000000003,,,,,95.7847,1.6234000000000037
kelantan,secondary_lower,male,2017,92.3972,96.813,-4.415800000000004,2018,85.6336,-9.991799999999998,-6.763599999999997,95.7847,1.6234000000000037,-3.387500000000003,-6.039200000000008,94.09094999999999,-1.3962000000000003
kelantan,secondary_lower,male,2018,85.6336,95.6254,-9.991799999999998,2019,97.1,1.6999999999999886,11.466399999999993,92.3972,-4.415800000000004,-6.763599999999997,-5.575999999999993,89.0154,-7.203800000000001
kelantan,secondary_lower,male,2019,97.1,95.4,1.6999999999999886,2020,107.0,10.599999999999994,9.900000000000006,85.6336,-9.991799999999998,11.466399999999993,11.691799999999986,91.3668,-4.145900000000005
kelantan,secondary_lower,male,2020,107.0,96.4,10.599999999999994,2021,110.5,11.299999999999997,3.5,97.1,1.6999999999999886,9.900000000000006,8.900000000000006,102.05,6.1499999999999915
kelantan,secondary_lower,male,2021,110.5,99.2,11.299999999999997,2022,99.4,0.20000000000000284,-11.099999999999994,107.0,10.599999999999994,3.5,0.7000000000000028,108.75,10.949999999999996
kelantan,secondary_lower,male,2022,99.4,99.2,0.20000000000000284,2023,,,,110.5,11.299999999999997,-11.099999999999994,-11.099999999999994,104.95,5.75
kelantan,secondary_upper,female,2016,97.9233,99.4922,-1.5688999999999993,2017,98.8592,1.3671999999999969,0.9359000000000037,,,,,97.9233,-1.5688999999999993
kelantan,secondary_upper,female,2017,98.8592,97.492,1.3671999999999969,2018,87.4555,-9.057699999999997,-11.4037,97.9233,-1.5688999999999993,0.9359000000000037,2.936099999999996,98.39125,-0.10085000000000122
kelantan,secondary_upper,female,2018,87.4555,96.5132,-9.057699999999997,2019,111.7,12.799999999999997,24.244500000000002,98.8592,1.3671999999999969,-11.4037,-10.424899999999994,93.15735000000001,-3.84525
kelantan,secondary_upper,female,2019,111.7,98.9,12.799999999999997,2020,98.6,5.0,-13.100000000000009,87.4555,-9.057699999999997,24.244500000000002,21.857699999999994,99.57775000000001,1.87115
kelantan,secondary_upper,female,2020,98.6,93.6,5.0,2021,99.6,1.6999999999999886,1.0,111.7,12.799999999999997,-13.100000000000009,-7.799999999999997,105.15,8.899999999999999
kelantan,secondary_upper,female,2021,99.6,97.9,1.6999999999999886,2022,98.8,-0.5,-0.7999999999999972,98.6,5.0,1.0,-3.3000000000000114,99.1,3.3499999999999943
kelantan,secondary_upper,female,2022,98.8,99.3,-0.5,2023,,,,99.6,1.6999999999999886,-0.7999999999999972,-2.1999999999999886,99.19999999999999,0.5999999999999943
kelantan,secondary_upper,male,2016,98.9638,98.9922,-0.028399999999990655,2017,94.7214,-0.4911999999999921,-4.2424000000000035,,,,,98.9638,-0.028399999999990655
kelantan,secondary_upper,male,2017,94.7214,95.2126,-0.4911999999999921,2018,89.4737,-5.244100000000003,-5.247700000000009,98.9638,-0.028399999999990655,-4.2424000000000035,-0.46280000000000143,96.8426,-0.25979999999999137
kelantan,secondary_upper,male,2018,89.4737,94.7178,-5.244100000000003,2019,106.7,10.600000000000009,17.22630000000001,94.7214,-0.4911999999999921,-5.247700000000009,-4.752900000000011,92.09755,-2.8676499999999976
kelantan,secondary_upper,male,2019,106.7,96.1,10.600000000000009,2020,96.8,4.799999999999997,-9.900000000000006,89.4737,-5.244100000000003,17.22630000000001,15.844100000000012,98.08685,2.6779500000000027
kelantan,secondary_upper,male,2020,96.8,92.0,4.799999999999997,2021,101.1,3.5,4.299999999999997,106.7,10.600000000000009,-9.900000000000006,-5.800000000000011,101.75,7.700000000000003
kelantan,secondary_upper,male,2021,101.1,97.6,3.5,2022,100.0,0.9000000000000057,-1.0999999999999943,96.8,4.799999999999997,4.299999999999997,-1.2999999999999972,98.94999999999999,4.149999999999999
kelantan,secondary_upper,male,2022,100.0,99.1,0.9000000000000057,2023,,,,101.1,3.5,-1.0999999999999943,-2.5999999999999943,100.55,2.200000000000003
