state,stage,sex,input_year,target_year,svr_forecast_prediction,rf_forecast_prediction,forecast_prediction_difference_svr_minus_rf,absolute_forecast_prediction_difference,evaluation_status
pahang,secondary_lower,male,2022,2023,97.97599754178523,97.62255540291282,0.35344213887240983,0.35344213887240983,Non-evaluable without actual next-year target
pahang,secondary_upper,female,2022,2023,99.41768537265136,96.34545637773128,3.0722289949200814,3.0722289949200814,Non-evaluable without actual next-year target
pahang,secondary_upper,male,2022,2023,98.77945041438208,97.51092564931,1.2685247650720868,1.2685247650720868,Non-evaluable without actual next-year target
perak,primary,female,2022,2023,100.52246497163677,99.92993942817766,0.5925255434591037,0.5925255434591037,Non-evaluable without actual next-year target
perak,primary,male,2022,2023,98.81605478565744,98.19663525324734,0.6194195324101059,0.6194195324101059,Non-evaluable without actual next-year target
perak,secondary_lower,female,2022,2023,99.86774415970952,98.993787042056,0.8739571176535179,0.8739571176535179,Non-evaluable without actual next-year target
perak,secondary_lower,male,2022,2023,98.11173242642506,98.07145047583182,0.04028195059323991,0.04028195059323991,Non-evaluable without actual next-year target
perak,secondary_upper,female,2022,2023,99.5143765220852,95.87307804079204,3.6412984812931626,3.6412984812931626,Non-evaluable without actual next-year target
perak,secondary_upper,male,2022,2023,98.3206042045983,96.67805150451986,1.64255270007844,1.64255270007844,Non-evaluable without actual next-year target
perlis,primary,female,2022,2023,100.00556591482264,99.51371141177252,0.4918545030501207,0.4918545030501207,Non-evaluable without actual next-year target
perlis,primary,male,2022,2023,98.18877711137944,95.78055002184698,2.40822708953246,2.40822708953246,Non-evaluable without actual next-year target
perlis,secondary_lower,female,2022,2023,98.40204273373762,99.01676207599948,-0.6147193422618642,0.6147193422618642,Non-evaluable without actual next-year target
perlis,secondary_lower,male,2022,2023,97.2700380304426,98.06991222959049,-0.7998741991478795,0.7998741991478795,Non-evaluable without actual next-year target
perlis,secondary_upper,female,2022,2023,97.55782233209004,96.39732880136462,1.160493530725418,1.160493530725418,Non-evaluable without actual next-year target
perlis,secondary_upper,male,2022,2023,96.59708782382036,94.59087079837788,2.0062170254424814,2.0062170254424814,Non-evaluable without actual next-year target
pulau_pinang,primary,female,2022,2023,97.75550836146076,97.48704759486432,0.2684607665964336,0.2684607665964336,Non-evaluable without actual next-year target
pulau_pinang,primary,male,2022,2023,95.03306317058372,95.26973359284293,-0.2366704222592091,0.2366704222592091,Non-evaluable without actual next-year target
pulau_pinang,secondary_lower,female,2022,2023,98.38510177814298,98.3868944047355,-0.0017926265925183316,0.0017926265925183316,Non-evaluable without actual next-year target
pulau_pinang,secondary_lower,male,2022,2023,96.6878475257974,97.12876277322998,-0.44091524743258503,0.44091524743258503,Non-evaluable without actual next-year target
pulau_pinang,secondary_upper,female,2022,2023,98.07838794874858,94.57482197069956,3.503565978049025,3.503565978049025,Non-evaluable without actual next-year target
pulau_pinang,secondary_upper,male,2022,2023,96.3170641913856,93.07380176314877,3.2432624282368323,3.2432624282368323,Non-evaluable without actual next-year target
sabah,primary,female,2022,2023,99.88439358484644,99.73523461943051,0.14915896541592133,0.14915896541592133,Non-evaluable without actual next-year target
sabah,primary,male,2022,2023,99.06457277929,99.20230903810214,-0.13773625881214002,0.13773625881214002,Non-evaluable without actual next-year target
sabah,secondary_lower,female,2022,2023,98.75331050029436,98.61543107795482,0.13787942233953743,0.13787942233953743,Non-evaluable without actual next-year target
sabah,secondary_lower,male,2022,2023,97.24244713106668,98.383942657246,-1.1414955261793125,1.1414955261793125,Non-evaluable without actual next-year target
sabah,secondary_upper,female,2022,2023,98.39620502234102,95.8274907548618,2.5687142674792227,2.5687142674792227,Non-evaluable without actual next-year target
sabah,secondary_upper,male,2022,2023,97.30783734323003,96.02723562788884,1.2806017153411915,1.2806017153411915,Non-evaluable without actual next-year target
sarawak,primary,female,2022,2023,100.8652759872697,100.1926266855332,0.6726493017364987,0.6726493017364987,Non-evaluable without actual next-year target
sarawak,primary,male,2022,2023,100.07002035199636,99.48897947058803,0.5810408814083274,0.5810408814083274,Non-evaluable without actual next-year target
sarawak,secondary_lower,female,2022,2023,99.2007767359439,98.78062354572182,0.42015319022208075,0.42015319022208075,Non-evaluable without actual next-year target
sarawak,secondary_lower,male,2022,2023,97.34147657061698,97.22917612910852,0.11230044150845231,0.11230044150845231,Non-evaluable without actual next-year target
sarawak,secondary_upper,female,2022,2023,98.58390019441596,96.15646829516928,2.4274318992466846,2.4274318992466846,Non-evaluable without actual next-year target
sarawak,secondary_upper,male,2022,2023,97.32727666847734,95.70994461885344,1.6173320496238972,1.6173320496238972,Non-evaluable without actual next-year target
selangor,primary,female,2022,2023,98.99154658063266,99.84578437335512,-0.8542377927224578,0.8542377927224578,Non-evaluable without actual next-year target
selangor,primary,male,2022,2023,97.43185188863455,96.86475570127526,0.5670961873592972,0.5670961873592972,Non-evaluable without actual next-year target
selangor,secondary_lower,female,2022,2023,98.58491329249436,97.89806334177108,0.6868499507232855,0.6868499507232855,Non-evaluable without actual next-year target
selangor,secondary_lower,male,2022,2023,96.6110934646459,97.5997067180906,-0.9886132534446972,0.9886132534446972,Non-evaluable without actual next-year target
selangor,secondary_upper,female,2022,2023,98.1108654698459,95.12166549895936,2.9891999708865455,2.9891999708865455,Non-evaluable without actual next-year target
selangor,secondary_upper,male,2022,2023,95.99371459576152,93.681258688837,2.3124559069245123,2.3124559069245123,Non-evaluable without actual next-year target
terengganu,primary,female,2022,2023,102.02551697438648,102.15159886059962,-0.12608188621314298,0.12608188621314298,Non-evaluable without actual next-year target
terengganu,primary,male,2022,2023,100.77537164046716,100.45995707509778,0.3154145653693803,0.3154145653693803,Non-evaluable without actual next-year target
terengganu,secondary_lower,female,2022,2023,100.0408118748109,99.06656235918476,0.9742495156261413,0.9742495156261413,Non-evaluable without actual next-year target
terengganu,secondary_lower,male,2022,2023,98.79606902265044,99.12372189404844,-0.32765287139800137,0.32765287139800137,Non-evaluable without actual next-year target
